year,weight,genus,species,record_id
1977,149,Dipodomys,spectabilis,483
1978,232,Neotoma,albigula,655
1978,232,Neotoma,albigula,1029
1979,274,Neotoma,albigula,2133
1980,241,Neotoma,albigula,2350
1980,241,Neotoma,albigula,3087
1981,251,Neotoma,albigula,4373
1982,252,Neotoma,albigula,5846
1983,256,Neotoma,albigula,8427
1984,259,Neotoma,albigula,8869
1985,225,Neotoma,albigula,11174
1986,240,Neotoma,albigula,11329
1987,278,Neotoma,albigula,12871
1988,248,Neotoma,albigula,15302
1989,275,Neotoma,albigula,15459
1990,243,Neotoma,albigula,17317
1991,199,Sigmodon,fulviventer,18927
1992,220,Neotoma,albigula,20040
1993,233,Neotoma,albigula,20584
1994,226,Neotoma,albigula,21885
1995,171,Neotoma,albigula,22899
1996,184,Neotoma,albigula,24405
1997,231,Neotoma,albigula,26695
1998,238,Neotoma,albigula,27762
1999,227,Neotoma,albigula,29821
2000,265,Neotoma,albigula,30175
2001,280,Neotoma,albigula,33049
2002,248,Neotoma,albigula,35212
